product_id,product_name,product_group,product_brand,category_id,supplier_id
7191,Sweet Corn Prepacked,Corn,Coles,7,3
7192,Sweet Corn,Corn,Coles,7,3
7193,Corn Cobettes,Corn,Coles,7,3
7194,Baby Sweet Corn Prepacked,Corn,Coles,7,3
7195,Organic Sweet Corn,Corn,Coles,7,3
7196,RSPCA Approved Chicken Breast Chunks,Poultry Deli,Coles Deli,0,0
7197,RSPCA Approved Chicken Thigh Fillets,Poultry Deli,Coles Deli,0,0
7198,RSPCA Approved Chicken Crumbed Schnitzel,Poultry Deli,Coles Deli,0,0
7199,RSPCA Approved Chicken Drumsticks,Poultry Deli,Coles Deli,0,0
7200,RSPCA Approved Chicken Wings,Poultry Deli,Coles Deli,0,0
7201,RSPCA Approved Chicken Nibbles Honey Soy,Poultry Deli,Coles Deli,0,0
7202,RSPCA Approved Chicken Breast Fillets Skin Off,Poultry Deli,Coles Deli,0,0
7203,RSPCA Approved Chicken Schnitzel,Poultry Deli,Coles Deli,0,0
7204,RSPCA Approved Chicken Garlic Kyiv,Poultry Deli,Coles Deli,0,0
7205,Beef 4 Star Lean Mince,Beef & veal mince,Coles,1,0
7206,Beef 5 Star Extra Lean Mince,Beef & veal mince,Coles,1,0
7207,Beef 3 Star Regular Mince,Beef & veal mince,Coles,1,0
7208,Beef 4 Star Lean Mince,Beef & veal mince,Coles,1,0
7209,Beef 3 Star Regular Mince,Beef & veal mince,Coles,1,0
7210,Beef Mince Family Pack,Beef & veal mince,Farms,1,0
7211,Graze Grass Fed Beef Mince,Beef & veal mince,Coles,1,0
7212,Veal Mince,Beef & veal mince,Richmond Valley,1,0
7213,Purple Eggplant,Eggplant,Fresh,7,3
7214,Sweet Baby Capsicums Prepacked,Eggplant,Coles,7,3
7215,Tri Colour Capsicum Pack,Eggplant,Coles,7,3
7216,Mini Capsicums,Eggplant,Coles,7,3
7217,Corned Silverside,Beef roasts,Coles,1,0
7218,No Added Hormone Peppered Beef Steaks,Beef roasts,Coles,1,0
7219,No Added Hormone Beef Roast Topside,Beef roasts,Coles,1,0
7220,Beef Blade Roast,Beef roasts,Coles,1,0
7221,Lean Salt Reduced Beef Corned Silverside,Beef roasts,Coles,1,0
7222,No Added Hormone Beef Brisket Slow Cook,Beef roasts,Coles,1,0
7223,Beef Roast With Mustard And Black Pepper,Beef roasts,Coles,1,0
7224,Beef Ribs,Beef roasts,Coles,1,0
7225,Beef Roast & Onion Garlic & Red Wine Rub,Beef roasts,Coles,1,0
7226,Beef Tender Blade Roast,Beef roasts,Coles,1,0
7227,Beef Family Roast,Beef roasts,Coles,1,0
7228,Bulk Corned Silverside,Beef roasts,Drovers Choice,1,0
7229,Beef Mini Rump Roast No Added Hormone,Beef roasts,Coles,1,0
7230,No Added Hormone Beef Brisket Point End Large Piece,Beef roasts,Coles,1,0
7231,No Added Hormone Beef Butterflied Texan BBQ,Beef roasts,Coles,1,0
7232,No Added Hormone Beef Short Rib Fingers,Beef roasts,Coles,1,0
7233,No Added Hormone Mustard Beef Rump Medallions,Beef roasts,Coles,1,0
7234,Iceberg Lettuce,Lettuce,Coles,7,3
7235,Baby Cos Lettuce,Lettuce,Coles,7,3
7236,Shredded Iceberg Lettuce,Lettuce,Coles,7,3
7237,Green Oak Lettuce,Lettuce,Coles,7,3
7238,Cos Lettuce,Lettuce,Coles,7,3
7239,Chopped Kale,Lettuce,Coles,7,3
7240,Decorative Butter Lettuce,Lettuce,Coles,7,3
7241,Red Oak Lettuce,Lettuce,Coles,7,3
7242,Baby Gem Lettuce,Lettuce,Coles,7,3
7243,Radicchio Lettuce,Lettuce,Coles,7,3
7244,Symphony Lettuce Prepacked,Lettuce,Coles,7,3
7245,No Added Hormone Beef Steak Crumbed,Crumbed Beef,Coles,1,0
7246,Fresh Loose Cup Mushrooms,Mushrooms,Coles,7,3
7247,Sliced Cup Mushrooms Prepacked,Mushrooms,Coles,7,3
7248,Cup Mushrooms Prepacked,Mushrooms,Coles,7,3
7249,Cup Mushrooms Prepacked,Mushrooms,Coles,7,3
7250,Sliced White Mushrooms Prepacked,Mushrooms,Coles,7,3
7251,White Button Mushrooms Prepacked,Mushrooms,Coles,7,3
7252,Flat Mushrooms loose,Mushrooms,Coles,7,3
7253,Portobello Mushrooms,Mushrooms,Coles,7,3
7254,Brown Mushrooms Loose,Mushrooms,Coles,7,3
7255,Portobello Mushrooms,Mushrooms,Coles,7,3
7256,Sliced Mushrooms Medley,Mushrooms,Coles,7,3
7257,Sliced Brown Mushrooms Prepacked,Mushrooms,Coles,7,3
7258,White Flat Mushrooms Prepacked,Mushrooms,Coles,7,3
7259,Organic White Mushroom,Mushrooms,Coles,7,3
7260,Exotic Shiitake Mushrooms Prepacked,Mushrooms,Coles,7,3
7261,Brown Mushrooms Prepacked,Mushrooms,Coles,7,3
7262,Sliced Vitamin D Mushrooms Prepacked,Mushrooms,Coles,7,3
7263,Dried Porcini Mushrooms,Mushrooms,Coles,7,3
7264,Enoki Mushrooms Exotic,Mushrooms,Coles,7,3
7265,Oyster Mushrooms Prepacked,Mushrooms,Coles,7,3
7266,Mixed Exotic Mushrooms Prepacked,Mushrooms,Coles,7,3
7267,Mushroom Dry Shiitake,Mushrooms,Coles,7,3
7268,Mushrooms Dried Mixed Forest,Mushrooms,Coles,7,3
7269,Tenders Southern Style Plant Based 6 Pack,Meat free beef,V2,1,0
7270,Schnitzel Original Plant Based 2 pack,Meat free beef,V2,1,0
7271,Plant Based Braised Beef,Meat free beef,Fable,1,0
7272,Organic Carrots Prepacked,Organic vegetables,Coles,7,3
7273,Organic Baby Spinach,Organic vegetables,Coles,7,3
7274,Organic Avocados,Organic vegetables,Coles,7,3
7275,Organic Green Zucchini Prepacked,Organic vegetables,Coles,7,3
